iter	Passed	Remaining
639	1437	808
640	1439	806
641	1442	804
642	1444	801
643	1445	799
644	1447	796
645	1448	793
646	1450	791
647	1452	789
648	1454	786
649	1455	783
650	1457	781
651	1459	778
652	1460	776
653	1462	773
654	1466	772
655	1467	769
656	1469	767
657	1471	764
658	1472	762
659	1474	759
660	1476	757
661	1477	754
662	1481	752
663	1482	750
664	1484	747
665	1486	745
666	1487	742
667	1488	740
668	1490	737
669	1492	734
670	1493	732
671	1495	730
672	1497	727
673	1498	725
674	1500	722
675	1502	720
676	1504	717
677	1505	715
678	1507	712
679	1509	710
680	1511	708
681	1513	705
682	1514	703
683	1516	700
684	1517	698
685	1519	695
686	1521	693
687	1522	690
688	1525	688
689	1527	686
690	1529	683
691	1530	681
692	1532	678
693	1534	676
694	1536	674
695	1537	671
696	1540	669
697	1542	667
698	1544	664
699	1546	662
700	1549	660
701	1551	658
702	1553	656
703	1556	654
704	1557	651
705	1559	649
706	1560	646
707	1562	644
708	1564	642
709	1566	639
710	1567	637
711	1570	635
712	1572	632
713	1573	630
714	1575	628
715	1578	626
716	1580	623
717	1583	621
718	1586	620
719	1589	617
720	1590	615
721	1592	613
722	1594	610
723	1596	608
724	1597	606
725	1600	604
726	1602	601
727	1603	599
728	1605	596
729	1608	594
730	1609	592
731	1611	590
732	1613	587
733	1615	585
734	1617	583
735	1619	580
736	1620	578
737	1623	576
738	1625	574
739	1627	571
740	1628	569
741	1632	567
742	1634	565
743	1635	562
744	1638	560
745	1640	558
746	1642	556
747	1644	553
748	1647	552
749	1648	549
750	1650	547
751	1653	545
752	1655	542
753	1657	540
754	1658	538
755	1672	539
756	1682	540
757	1700	542
758	1702	540
759	1705	538
760	1719	539
761	1722	537
762	1724	535
763	1726	533
764	1727	530
765	1729	528
766	1731	525
767	1732	523
768	1734	521
769	1742	520
770	1746	518
771	1748	516
772	1750	514
773	1755	512
774	1772	514
775	1776	512
776	1782	511
777	1786	509
778	1790	507
779	1793	505
780	1798	504
781	1804	503
782	1807	501
783	1815	500
784	1817	497
785	1819	495
786	1822	493
787	1824	490
788	1829	489
789	1897	504
790	1905	503
791	1908	501
792	1910	498
793	1913	496
794	1921	495
795	1928	494
796	1934	492
797	1938	490
798	1940	488
799	1942	485
800	1945	483
801	1947	480
802	1949	478
803	1951	475
804	1953	473
805	1954	470
806	1956	467
807	1957	465
808	1963	463
809	1966	461
810	1969	459
811	1974	457
812	1978	455
813	1981	452
814	1982	450
815	1984	447
816	1986	444
817	1988	442
818	1989	439
819	1992	437
820	1994	434
821	1996	432
822	2001	430
823	2003	427
824	2004	425
825	2007	422
826	2009	420
827	2013	418
828	2015	415
829	2016	413
830	2018	410
831	2020	407
832	2021	405
833	2023	402
834	2025	400
835	2027	397
836	2028	395
837	2030	392
838	2032	389
839	2033	387
840	2035	384
841	2038	382
842	2040	380
843	2042	377
844	2043	374
845	2045	372
846	2047	369
847	2048	367
848	2050	364
849	2051	362
850	2053	359
851	2055	357
852	2057	354
853	2059	352
854	2060	349
855	2062	346
856	2064	344
857	2073	343
858	2077	340
859	2080	338
860	2083	336
861	2087	334
862	2090	331
863	2092	329
864	2094	326
865	2097	324
866	2099	322
867	2102	319
868	2104	317
869	2105	314
870	2107	312
871	2108	309
872	2110	307
873	2112	304
874	2113	301
875	2115	299
876	2117	296
877	2119	294
878	2120	291
879	2122	289
880	2123	286
881	2125	284
882	2127	281
883	2129	279
884	2130	276
885	2133	274
886	2135	272
887	2148	270
888	2153	268
889	2161	267
890	2163	264
891	2166	262
892	2167	259
893	2169	257
894	2171	254
895	2174	252
896	2175	249
897	2177	247
898	2179	244
899	2182	242
900	2184	240
901	2188	237
902	2190	235
903	2192	232
904	2196	230
905	2198	228
906	2200	225
907	2204	223
908	2206	220
909	2208	218
910	2213	216
911	2215	213
912	2217	211
913	2219	208
914	2222	206
915	2224	203
916	2226	201
917	2228	199
918	2230	196
919	2234	194
920	2237	191
921	2239	189
922	2242	187
923	2244	184
924	2246	182
925	2249	179
926	2251	177
927	2254	174
928	2257	172
929	2259	170
930	2261	167
931	2265	165
932	2269	162
933	2272	160
934	2274	158
935	2276	155
936	2278	153
937	2280	150
938	2281	148
939	2284	145
940	2289	143
941	2292	141
942	2294	138
943	2297	136
944	2302	134
945	2312	131
946	2314	129
947	2318	127
948	2323	124
949	2326	122
950	2328	119
951	2331	117
952	2336	115
953	2340	112
954	2342	110
955	2345	107
956	2349	105
957	2354	103
958	2356	100
959	2359	98
960	2363	95
961	2369	93
962	2372	91
963	2374	88
964	2378	86
965	2382	83
966	2385	81
967	2387	78
968	2389	76
969	2392	73
970	2395	71
971	2398	69
972	2400	66
973	2402	64
974	2405	61
975	2407	59
976	2410	56
977	2413	54
978	2416	51
979	2418	49
980	2421	46
981	2423	44
982	2427	41
983	2430	39
984	2434	37
985	2438	34
986	2443	32
987	2445	29
988	2448	27
989	2449	24
990	2451	22
991	2454	19
992	2457	17
993	2460	14
994	2463	12
995	2465	9
996	2468	7
997	2471	4
998	2475	2
999	2477	0
